OBJECTID,TREE_ID,TREE_NUMBER,HEIGHT_M,GIRTH,AGE_CLASS,SPECIES_ID,SCIENTIFIC_NAME,POPULAR_NAME,NBN_TAXON_VERSION_KEY,EASTING,NORTHING,LATITUDE,LONGITUDE
45713,"{AF3B36E9-7DA2-4942-8184-C79F03D90FCF}","STRATHMARTINE145","15-20m.","50-100cm","Mature",483,"Quercus","Oak spp","NHMSYS0000462211",335607,733010,56.484769968055,-3.04719138022956
45777,"{F9164059-C020-44E8-865E-0811E31B2E84}","THEFERRY562","10-15m.","50-100cm","Mature",,,,,347888,731275,56.4707060432053,-2.84745728348954
45793,"{0623E8C0-4B34-4701-9CF1-0F8E89C91455}","THEFERRY570","0-5m.","50-100cm","Mature",592,"Acer cappadocicum","Cappadocian maple","NBNSYS0000014410",344285,731380,56.4712362634779,-2.9059538261178
45809,"{6C959EB4-F439-4FD2-AC2B-09BEA1F8DA94}","MARYFIELD1008","5-10m.","25-50cm","Semi-mature",572,"Malus","Apple spp","NHMSYS0000460566",340558,730353,56.4615548340778,-2.96620577255221
45825,"{6805FF55-10F5-47C1-A7D1-C6CA0D65D2A2}","MARYFIELD1012","5-10m.","25-50cm","Semi-mature",487,"Ulmus glabra","Wych Elm","NHMSYS0000464701",340604,730286,56.4609587993031,-2.96544414667152
45841,"{E4CB3959-AC6F-4926-9654-905A9F52A3BB}","MARYFIELD1017","5-10m.","25-50cm","Semi-mature",643,"Ulmus procera","English elm","NBNSYS0000003812",340526,730214,56.4603021926467,-2.96669324663979
45857,"{445FEA67-1370-41B1-9B48-B6CC33EC3425}","MARYFIELD1022","15-20m.","100-150cm","Mature",487,"Ulmus glabra","Wych Elm","NHMSYS0000464701",340377,730141,56.4596276017389,-2.96909399457659
45905,"{FBBBB337-F44C-43FE-836E-F964D3E77470}","EASTEND163","10-15m.","50-100cm","Mature",437,"Prunus avium","Sweet cherry","NBNSYS0000003417",343442,731252,56.4699858572912,-2.91960741162379
45921,"{E8A97D21-CABE-4886-A3EB-BF03678FBD21}","EASTEND166","10-15m.","50-100cm","Mature",308,"Betula utilis var. utilis","Himalayan birch",,343437,731274,56.4701828784093,-2.91969333505969
45953,"{2EE9F88E-32B8-449D-A07A-5A36E57BEBDA}","COLDSIDE328","0-5m.","50-100cm","Mature",653,"Malus sylvestris","European crabapple","NHMSYS0000460572",339473,732223,56.4782141249681,-2.98424450196471
45969,"{843602A1-8464-4433-97B6-B6CFB9616440}","WESTEND1224","0-5m.","20-25cm.","Young",325,"Prunus serrulata 'Shirofugen'","Japanese flowering cherry 'Shirofugen'",,338155,730523,56.4627722428036,-3.00523453510626
45985,"{30A1FBEE-61AD-4395-8D42-8F052E39A961}","WESTEND1229","0-5m.","15-20cm.","Young",,,,,338156,730473,56.4623232433676,-3.0052064418462
46001,"{CADA6731-0B9E-4466-8874-F6BA41E104E6}",,"0-5m.","0-5cm.","Young",,,,,,,,
46017,"{91695DC1-DEEE-4096-8A7B-5D3CC9A1745C}","NORTHEAST34","0-5m.","0-5cm.","Young",597,"Austrocedrus chilensis","Chilean incense cedar","NHMSYS0000494773",344560,733299,56.4885068681157,-2.9018995875603
46049,"{49320A1E-12D8-4724-A9E7-1AB5756ACFD1}","EASTEND170","10-15m.","50-100cm","Mature",,,,,343512,731806,56.4749707563755,-2.91859159702037
46065,"{57B144DF-374E-41F7-AD6F-89C5FC7B2728}","EASTEND171","10-15m.","50-100cm","Mature",370,"Acer platanoides 'Crimson King'","Norway maple 'Crimson King'",,343513,731804,56.4749529108234,-2.91857493200666
46081,"{FFAB6F2B-71F0-4248-A996-E0D80EBB8B5E}","EASTEND173","15-20m.","50-100cm","Mature",370,"Acer platanoides 'Crimson King'","Norway maple 'Crimson King'",,343515,731815,56.4750519621187,-2.91854485705556
46097,"{EE135E39-2B15-4181-8CB9-CEEF8C71DFF3}","EASTEND174","10-15m.","50-100cm","Mature",370,"Acer platanoides 'Crimson King'","Norway maple 'Crimson King'",,343519,731814,56.4750434596629,-2.91847971594741
